timestamp,temperature[degC],humidity[%],no2[ppb],co[ppm],no2[V],co[V],latitude[deg],longitude[deg],altitude[m]
10/8/2016 13:11,25.05,51.06,69.99,0.94,-0.82724,-1.99689,---,---,---
10/8/2016 13:12,25.04,51.06,71.7,1.25,-0.82727,-1.99644,---,---,---
10/8/2016 13:12,25.04,51.06,70.35,1.25,-0.82725,-1.99643,---,---,---
10/8/2016 13:12,25.04,51.06,74.67,1.23,-0.82731,-1.99647,---,---,---
10/8/2016 13:12,25.03,51.06,71.93,1.23,-0.82727,-1.99647,---,---,---
10/8/2016 13:12,25.03,51.06,72.4,1.01,-0.82728,-1.9968,---,---,---
10/8/2016 13:12,25.03,51.05,75.88,1.41,-0.82733,-1.99622,---,---,---
10/8/2016 13:12,25.02,51.04,78.44,1.35,-0.82736,-1.99631,---,---,---
10/8/2016 13:12,25.02,51.04,79.25,0.9,-0.82738,-1.99697,---,---,---
10/8/2016 13:12,25.02,51.03,81.07,0.57,-0.8274,-1.99746,---,---,---
10/8/2016 13:12,25.01,51.03,80.7,0.83,-0.8274,-1.99709,---,---,---
10/8/2016 13:12,25.01,51.03,75.3,0.76,-0.82732,-1.99719,---,---,---
10/8/2016 13:12,25.01,51.03,74.4,1.05,-0.8273,-1.99677,---,---,---
10/8/2016 13:13,25,51.02,72.51,1.34,-0.82727,-1.99634,---,---,---
10/8/2016 13:13,25,51.02,74.9,1.18,-0.82731,-1.99659,---,---,---
10/8/2016 13:13,25,51.02,69.9,0.97,-0.82723,-1.99689,---,---,---
10/8/2016 13:13,24.99,51.02,69.49,1.21,-0.82723,-1.99655,---,---,---
10/8/2016 13:13,24.99,51.01,69.48,0.93,-0.82723,-1.99697,---,---,---
10/8/2016 13:13,24.99,51.01,67.84,1.51,-0.8272,-1.99612,---,---,---
10/8/2016 13:13,24.98,51.01,70.46,1.61,-0.82724,-1.99597,---,---,---
