Lat,Lon,featureNam,pcode,featureRef,popPlaceCl,popPlace_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod,date,validOn,validTo
31.91262787,35.35075454,Al Mu'arrajat Centre,PS01301775,Al Muarrajat Centre,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.55986301,35.10446254,Qezoun,PS01999763,Qezoun,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.7955336,35.41175725,An Nabi Musa,PS01352075,An Nabi Musa,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.36788829,35.02494432,Khirbet ar Ratheem,PS01999985,Khirbet ar Ratheem,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.07614861,35.00598303,Umm al Hamam,PS01999924,Umm al Hamam,0,,Salfit,PS0125,State of Palestine,PS,1/1/2004,12/18/2015,
31.84992668,35.16509633,Al Khalayleh,PS01999967,Al Khalayleh,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.85629962,35.18911804,North Al Jib Bedouins,PS01999889,North Al Jib Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.84922706,35.21553202,Tal al 'Addasa Bedouins,PS01999851,Tal al Addasa Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.76961348,35.31589773,Wadi al A'awaj,PS01999868,Wadi al Aawaj,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
32.38068977,35.52878883,Ad Deir,PS01999860,Ad Deir,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
31.69170344,35.25888104,Ras al Wad,PS01452290,Ras al Wad,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.43139191,35.02075276,Abu al 'Urqan,PS01503185,Abu al Urqan,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.43676917,35.00872126,Abu al Ghuzlan,PS01503160,Abu al Ghuzlan,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.4375312,34.92562547,Al Bira,PS01503165,Al Bira,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.36029823,35.51879158,Al Farisiya-Khallet Khader,PS01999843,Al Farisiya-Khallet Khader,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
31.41939012,35.23880561,Khashem al Karem,PS01503130,Khashem al Karem,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.46577821,34.95712621,Iskeik,PS01502985,Iskeik,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.40526428,34.91567309,Iqtait,PS01999934,Iqtait,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.48902479,35.0571629,Al Hijra,PS01502885,Al Hijra,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.40733052,35.22508782,Rojom Eshayeb,PS01999944,Rojom Eshayeb,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.36946424,34.92951756,Deir al Hawa,PS01999937,Deir al Hawa,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.49709449,35.19254219,Khallet Anjas,PS01999932,Khallet Anjas,0,,Jenin,PS0101,State of Palestine,PS,1/1/2004,12/18/2015,
32.44781046,35.18072274,Adebal,PS01999930,Adebal,0,,Jenin,PS0101,State of Palestine,PS,1/1/2004,12/18/2015,
31.42514947,35.17559698,Tha'lah,PS01999811,Thalah,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.38267606,34.99169984,Umm At Tiran,PS01999810,Umm At Tiran,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.3834793,34.99591441,"Umm Al Qaáran",PS01999809,Umm Al Qaaran,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.25381373,35.18780381,Deir Sharaf,PS01150810,Deir Sharaf,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
31.64744718,35.19770702,Al Halqum,PS01452475,Al Halqum,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.66115395,35.22170947,Harmala,PS01452420,Harmala,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.50548714,35.20493996,Masafer Bani Na'im,PS01999988,Masafer Bani Naim,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.5422055,34.99307777,Suba,PS01502730,Suba,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.57266187,34.98262456,Bir Musallam,PS01502645,Bir Musallam,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.23853826,35.18603225,Qusin,PS01150855,Qusin,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
32.23064439,35.21511273,Beit Wazan,PS01150875,Beit Wazan,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
32.24029891,35.21923581,Zawata,PS01150835,Zawata,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
32.2526123,35.26605762,Asira ash Shamaliya,PS01150820,Asira ash Shamaliya,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
32.22377542,35.3110781,Azmut,PS01150910,Azmut,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
32.21649716,35.32076818,Deir al Hatab,PS01150935,Deir al Hatab,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
31.6099597,35.19356551,Umm al Butm,PS01502575,Umm al Butm,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.60394799,35.17549812,Hamrush,PS01502580,Hamrush,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.651573,35.21142536,Khirbet ad Deir,PS01452455,Khirbet ad Deir,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.66957813,35.18167085,Al Beida,PS01452380,Al Beida,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.46537919,35.04099649,Deir Razih,PS01502955,Deir Razih,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.44549174,35.20118621,Umm ad Daraj,PS01503105,Umm ad Daraj,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.65584671,35.02606902,Khirbet ad Deir,PS01502435,Khirbet ad Deir,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.65914553,35.12515763,Khallet Sakariya,PS01452415,Khallet Sakariya,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
32.16718915,34.9961627,Wadi ar Rasha,PS01201120,Wadi ar Rasha,0,,Qalqilya,PS0120,State of Palestine,PS,1/1/2004,12/18/2015,
31.65178784,35.17012895,Jurat ash Sham'a,PS01452460,Jurat ash Shama,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
32.33425858,35.05595268,Al Masqufa,PS01100555,Al Masqufa,0,,Tulkarm,PS0110,State of Palestine,PS,1/1/2004,12/18/2015,
32.29199066,35.07468339,Al Haffasi,PS01100715,Al Haffasi,0,,Tulkarm,PS0110,State of Palestine,PS,1/1/2004,12/18/2015,
32.29390433,35.05029752,Kafa,PS01100710,Kafa,0,,Tulkarm,PS0110,State of Palestine,PS,1/1/2004,12/18/2015,
32.18948535,35.13367402,Al Funduq,PS01201035,Al Funduq,0,,Qalqilya,PS0120,State of Palestine,PS,1/1/2004,12/18/2015,
31.37759864,35.1087028,Haribat an Nabi,PS01503365,Haribat an Nabi,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.40087482,35.10835589,Susiya,PS01999987,Susiya,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.3645761,35.1402664,Jinba,PS01999992,Jinba,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.3638425,35.15024759,Mirkez,PS01999994,Mirkez,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.3943455,35.1424496,Qawawis,PS01503315,Qawawis,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.37891434,35.18797703,Khirbet al Majaz,PS01503340,Khirbet al Majaz,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.38204678,35.17400668,Khirbet at Tabban,PS01503330,Khirbet at Tabban,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.38696811,35.18438293,Maghayir al Abeed,PS01503345,Maghayir al Abeed,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.39773805,35.18078175,Isfey al Fauqa,PS01999989,Isfey al Fauqa,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
